Time,Open,High,Low,Close
2021-10-02,48141.6,48336.59,47430.18,47634.9
2021-10-03,47634.89,49228.08,47088.0,48200.01
2021-10-04,48200.01,49536.12,46891.0,49224.94
2021-10-05,49224.93,51886.3,49022.4,51471.99
2021-10-06,51471.99,55750.0,50382.41,55315.0
2021-10-07,55315.0,55332.31,53357.0,53785.22
2021-10-08,53785.22,56100.0,53617.61,53951.43
2021-10-09,53955.67,55489.0,53661.67,54949.72
2021-10-10,54949.72,56561.31,54080.0,54659.0
2021-10-11,54659.01,57839.04,54415.06,57471.35
2021-10-12,57471.35,57680.0,53879.0,55996.93
2021-10-13,55996.91,57777.0,54167.19,57367.0
2021-10-14,57370.83,58532.54,56818.05,57347.94
2021-10-15,57347.94,62933.0,56850.0,61672.42
2021-10-16,61672.42,62378.42,60150.0,60875.57
2021-10-17,60875.57,61718.39,58963.0,61528.33
2021-10-18,61528.32,62695.78,59844.45,62009.84
2021-10-19,62005.6,64486.0,61322.22,64280.59
2021-10-20,64280.59,67000.0,63481.4,66001.41
2021-10-21,66001.4,66639.74,62000.0,62193.15
2021-10-22,62193.15,63732.39,60000.0,60688.22
2021-10-23,60688.23,61747.64,59562.15,61286.75
2021-10-24,61286.75,61500.0,59510.63,60852.22
2021-10-25,60852.22,63710.63,60650.0,63078.78
2021-10-26,63078.78,63293.48,59817.55,60328.81
2021-10-27,60328.81,61496.0,58000.0,58413.44
2021-10-28,58413.44,62499.0,57820.0,60575.89
2021-10-29,60575.9,62980.0,60174.81,62253.71
2021-10-30,62253.7,62359.25,60673.0,61859.19
2021-10-31,61859.19,62405.3,59945.36,61299.8
2021-11-01,61299.81,62437.74,59405.0,60911.11
2021-11-02,60911.12,64270.0,60624.68,63219.99
2021-11-03,63220.57,63500.0,60382.76,62896.48
2021-11-04,62896.49,63086.31,60677.01,61395.01
2021-11-05,61395.01,62595.72,60721.0,60937.12
2021-11-06,60940.18,61560.49,60050.0,61470.61
2021-11-07,61470.62,63286.35,61322.78,63273.59
2021-11-08,63273.58,67789.0,63273.58,67525.83
2021-11-09,67525.82,68524.25,66222.4,66947.66
2021-11-10,66947.67,69000.0,62822.9,64882.43
2021-11-11,64882.42,65600.07,64100.0,64774.26
2021-11-12,64774.25,65450.7,62278.0,64122.23
2021-11-13,64122.22,65000.0,63360.22,64380.0
2021-11-14,64380.01,65550.51,63576.27,65519.1
2021-11-15,65519.11,66401.82,63400.0,63606.74
2021-11-16,63606.73,63617.31,58574.07,60058.87
2021-11-17,60058.87,60840.23,58373.0,60344.87
2021-11-18,60344.86,60976.0,56474.26,56891.62
2021-11-19,56891.62,58320.0,55600.0,58052.24
2021-11-20,58057.1,59845.0,57353.0,59707.51
2021-11-21,59707.52,60029.76,58486.65,58622.02
2021-11-22,58617.7,59444.0,55610.0,56247.18
2021-11-23,56243.83,58009.99,55317.0,57541.27
2021-11-24,57541.26,57735.0,55837.0,57138.29
2021-11-25,57138.29,59398.9,57000.0,58960.36
2021-11-26,58960.37,59150.0,53500.0,53726.53
2021-11-27,53723.72,55280.0,53610.0,54721.03
2021-11-28,54716.47,57445.05,53256.64,57274.88
2021-11-29,57274.89,58865.97,56666.67,57776.25
2021-11-30,57776.25,59176.99,55875.55,56950.56
2021-12-01,56950.56,59053.55,56458.01,57184.07
2021-12-02,57184.07,57375.47,55777.77,56480.34
2021-12-03,56484.26,57600.0,51680.0,53601.05
2021-12-04,53601.05,53859.1,42000.3,49152.47
2021-12-05,49152.46,49699.05,47727.21,49396.33
2021-12-06,49396.32,50891.11,47100.0,50441.92
2021-12-07,50441.91,51936.33,50039.74,50588.95
2021-12-08,50588.95,51200.0,48600.0,50471.19
2021-12-09,50471.19,50797.76,47320.0,47545.59
2021-12-10,47535.9,50125.0,46852.0,47140.54
2021-12-11,47140.54,49485.71,46751.0,49389.99
2021-12-12,49389.99,50777.0,48638.0,50053.9
2021-12-13,50053.9,50189.97,45672.75,46702.75
2021-12-14,46702.76,48700.41,46290.0,48343.28
2021-12-15,48336.95,49500.0,46547.0,48864.98
2021-12-16,48864.98,49436.43,47511.0,47632.38
2021-12-17,47632.38,47995.96,45456.0,46131.2
2021-12-18,46133.83,47392.37,45500.0,46834.48
2021-12-19,46834.47,48300.01,46406.91,46681.23
2021-12-20,46681.24,47537.57,45558.85,46914.16
2021-12-21,46914.17,49328.96,46630.0,48889.88
2021-12-22,48887.59,49576.13,48421.87,48588.16
2021-12-23,48588.17,51375.0,47920.42,50838.81
2021-12-24,50838.82,51810.0,50384.43,50820.0
2021-12-25,50819.99,51156.23,50142.32,50399.66
2021-12-26,50399.67,51280.0,49412.0,50775.49
2021-12-27,50775.48,52088.0,50449.0,50701.44
2021-12-28,50701.44,50704.05,47313.01,47543.74
2021-12-29,47543.74,48139.08,46096.99,46464.66
2021-12-30,46464.66,47900.0,45900.0,47120.87
2021-12-31,47120.88,48548.26,45678.0,46216.93
2022-01-01,46216.93,47954.63,46208.37,47722.65
2022-01-02,47722.66,47990.0,46654.0,47286.18
2022-01-03,47286.18,47570.0,45696.0,46446.1
2022-01-04,46446.1,47557.54,45500.0,45832.01
2022-01-05,45832.01,47070.0,42500.0,43451.13
2022-01-06,43451.14,43816.0,42430.58,43082.31
2022-01-07,43082.3,43145.83,40610.0,41566.48
2022-01-08,41566.48,42300.0,40501.0,41679.74
2022-01-09,41679.74,42786.7,41200.02,41864.62
2022-01-10,41864.62,42248.5,39650.0,41822.49
2022-01-11,41822.49,43100.0,41268.93,42729.29
2022-01-12,42729.29,44322.0,42450.0,43902.66
2022-01-13,43902.65,44500.0,42311.22,42560.11
2022-01-14,42558.35,43448.78,41725.95,43059.96
2022-01-15,43059.96,43800.0,42555.0,43084.29
2022-01-16,43084.29,43475.0,42581.79,43071.66
2022-01-17,43071.66,43176.18,41540.42,42201.62
2022-01-18,42201.63,42691.0,41250.0,42352.12
2022-01-19,42352.12,42559.13,41138.56,41660.01
2022-01-20,41660.0,43505.0,40553.31,40680.91
2022-01-21,40680.92,41100.0,35440.45,36445.31
2022-01-22,36445.31,36835.22,34008.0,35071.42
2022-01-23,35071.42,36499.0,34601.01,36244.55
2022-01-24,36244.55,37550.0,32917.17,36660.35
2022-01-25,36660.35,37545.14,35701.0,36958.32
2022-01-26,36958.32,38919.98,36234.63,36809.34
2022-01-27,36807.24,37234.47,35507.01,37160.1
2022-01-28,37160.11,38000.0,36155.01,37716.56
2022-01-29,37716.57,38720.74,37268.44,38166.84
2022-01-30,38166.83,38359.26,37351.63,37881.76
2022-01-31,37881.75,38744.0,36632.61,38466.9
2022-02-01,38466.9,39265.2,38000.0,38694.59
2022-02-02,38694.59,38855.92,36586.95,36896.36
2022-02-03,36896.37,37387.0,36250.0,37311.61
2022-02-04,37311.98,41772.33,37026.73,41574.25
2022-02-05,41571.7,41913.69,40843.01,41382.59
2022-02-06,41382.6,42656.0,41116.56,42380.87
2022-02-07,42380.87,44500.5,41645.85,43839.99
2022-02-08,43839.99,45492.0,42666.0,44042.99
2022-02-09,44043.0,44799.0,43117.92,44372.72
2022-02-10,44372.71,45821.0,43174.01,43495.44
2022-02-11,43495.44,43920.0,41938.51,42373.73
2022-02-12,42373.73,43079.49,41688.88,42217.87
2022-02-13,42217.87,42760.0,41870.0,42053.66
2022-02-14,42053.65,42842.4,41550.56,42535.94
2022-02-15,42535.94,44751.4,42427.03,44544.86
2022-02-16,44544.85,44549.97,43307.0,43873.56
2022-02-17,43873.56,44164.71,40073.21,40515.7
2022-02-18,40515.71,40959.88,39450.0,39974.44
2022-02-19,39974.45,40444.32,39639.03,40079.17
2022-02-20,40079.17,40125.44,38000.0,38386.89
2022-02-21,38386.89,39494.35,36800.0,37008.16
2022-02-22,37008.16,38429.0,36350.0,38230.33
2022-02-23,38230.33,39249.93,37036.79,37250.01
2022-02-24,37250.02,39843.0,34322.28,38327.21
2022-02-25,38328.68,39683.53,38014.37,39219.17
2022-02-26,39219.16,40348.45,38573.18,39116.72
2022-02-27,39116.73,39855.7,37000.0,37699.07
2022-02-28,37699.08,44225.84,37450.17,43160.0
2022-03-01,43160.0,44949.0,42809.98,44421.2
2022-03-02,44421.2,45400.0,43334.09,43892.98
2022-03-03,43892.99,44101.12,41832.28,42454.0
2022-03-04,42454.0,42527.3,38550.0,39148.66
2022-03-05,39148.65,39613.24,38407.59,39397.96
2022-03-06,39397.97,39693.87,38088.57,38420.81
2022-03-07,38420.8,39547.57,37155.0,37988.0
2022-03-08,37988.01,39362.08,37867.65,38730.63
2022-03-09,38730.63,42594.06,38656.45,41941.71
2022-03-10,41941.7,42039.63,38539.73,39422.0
2022-03-11,39422.01,40236.26,38223.6,38729.57
2022-03-12,38729.57,39486.71,38660.52,38807.36
2022-03-13,38807.35,39310.0,37578.51,37777.34
2022-03-14,37777.35,39947.12,37555.0,39671.37
2022-03-15,39671.37,39887.61,38098.33,39280.33
2022-03-16,39280.33,41718.0,38828.48,41114.0
2022-03-17,41114.01,41478.82,40500.0,40917.9
2022-03-18,40917.89,42325.02,40135.04,41757.51
2022-03-19,41757.51,42400.0,41499.29,42201.13
2022-03-20,42201.13,42296.26,40911.0,41262.11
2022-03-21,41262.11,41544.22,40467.94,41002.25
2022-03-22,41002.26,43361.0,40875.51,42364.13
2022-03-23,42364.13,43025.96,41751.47,42882.76
2022-03-24,42882.76,44220.89,42560.46,43991.46
2022-03-25,43991.46,44398.53,43854.38,44048.23
